marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11790000.0,38544.0,2024,bencina,araucania,0,2,19272.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11790000.0,33708.0,2024,bencina,araucania,0,2,16854.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Lt R 4x2 Hb Mt 5p,12090000.0,38006.0,2024,bencina,biobio,0,2,19003.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Lt R 4x2 Hb Mt 5p,11580000.0,28646.0,2024,bencina,biobio,0,2,14323.0,0,medio,bajo,general,baja depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11790000.0,40644.0,2024,bencina,santiago,0,2,20322.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0 Rs R Mt,12090000.0,36920.0,2024,bencina,santiago,0,2,18460.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11890000.0,44497.0,2024,bencina,santiago,0,2,22248.5,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Ltz P2 4x2 Hb Mt 5p,10990000.0,18009.0,2024,bencina,santiago,0,2,9004.5,0,medio,bajo,general,baja depreciacion
chevrolet,Prisma Ltz,9290000.0,78600.0,2020,bencina,santiago,0,6,13100.0,0,bajo,medio,general,depreciacion media
chevrolet,Sail 1.4 Lt 4x2 Mt 4p,3290000.0,62245.0,2014,bencina,tarapaca,0,12,5187.083333333333,0,bajo,medio,general,alta depreciacion
chevrolet,Sail 1.5 4x2 Mt 4p,7490000.0,85010.0,2022,bencina,santiago,0,4,21252.5,0,bajo,medio,general,depreciacion media
chevrolet,Sail 1.5 4x2 Mt 4p,6990000.0,112401.0,2023,bencina,araucania,0,3,37467.0,0,bajo,alto,general,depreciacion media
chevrolet,Sail 1.5 Ls Smart 4x2 Mt 4p,8090000.0,31825.0,2023,bencina,biobio,0,3,10608.333333333334,0,bajo,medio,general,baja depreciacion
chevrolet,Silverado 5.3 Lt 4wd Ext Z71 Dob. C,25490000.0,96367.0,2019,bencina,coquimbo,0,7,13766.714285714286,0,alto,medio,general,depreciacion media
chevrolet,Silverado Cc Dcab 4x4 5.3,37990000.0,146653.0,2020,bencina,santiago,0,6,24442.166666666668,0,premium,alto,general,alta depreciacion
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,31390000.0,84674.0,2021,bencina,biobio,0,5,16934.8,0,alto,medio,general,depreciacion media
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,28990000.0,142889.0,2021,bencina,biobio,0,5,28577.8,0,alto,alto,general,alta depreciacion
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,31980000.0,83983.0,2021,bencina,santiago,0,5,16796.6,0,alto,medio,general,depreciacion media
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,35480000.0,49663.0,2022,bencina,tarapaca,0,4,12415.75,0,premium,medio,general,depreciacion media
chevrolet,Silverado 6.2 Zr2 4x4 At 4p,40980000.0,29509.0,2023,bencina,tarapaca,0,3,9836.333333333334,0,premium,bajo,general,baja depreciacion
chevrolet,Silverado 6.2 Zr2 Auto Dc 4wd,42800000.0,31976.0,2024,bencina,santiago,0,2,15988.0,0,premium,medio,general,baja depreciacion
chevrolet,Silverado 6.2 Zr2 R 4x4 At 4p,48990000.0,3559.0,2025,bencina,coquimbo,0,1,3559.0,0,premium,bajo,general,baja depreciacion
chevrolet,Spark Lt,8600000.0,36000.0,2021,bencina,santiago,0,5,7200.0,0,bajo,medio,general,depreciacion media
chevrolet,Spin Mt,10795000.0,60000.0,2019,bencina,santiago,0,7,8571.42857142857,0,medio,medio,general,depreciacion media
chevrolet,Spin 1.8 Ltz 4x2 At 5p,8300000.0,71606.0,2019,bencina,santiago,0,7,10229.42857142857,0,bajo,medio,general,depreciacion media
chevrolet,Suburban 5.3l Z71 Awd At 5p,49990000.0,83842.0,2022,bencina,santiago,0,4,20960.5,0,premium,medio,general,depreciacion media
chevrolet,Tahoe 5.7,11980000.0,279631.0,1997,bencina,santiago,0,29,9642.448275862069,0,medio,alto,general,alta depreciacion
chevrolet,Tahoe Lt 4wd 5.3,29900000.0,117500.0,2017,bencina,santiago,0,9,13055.555555555555,0,alto,alto,general,alta depreciacion
chevrolet,Tahoe 5.3 Z71 4wd,56990000.0,38233.0,2024,bencina,santiago,0,2,19116.5,0,premium,medio,general,baja depreciacion
chevrolet,Tracker Lt,9490000.0,32900.0,2015,bencina,santiago,0,11,2990.909090909091,0,bajo,medio,general,alta depreciacion
chevrolet,Tracker Mt,11000000.0,90568.0,2018,bencina,santiago,0,8,11321.0,0,medio,medio,general,depreciacion media
chevrolet,Tracker Mt,12700000.0,94370.0,2020,bencina,santiago,0,6,15728.333333333334,0,medio,medio,general,depreciacion media
chevrolet,Tracker Ii Fwd 1.8,12490000.0,37150.0,2020,bencina,santiago,0,6,6191.666666666667,0,medio,medio,general,depreciacion media
chevrolet,Tracker Ii Fwd 1,12700000.0,64044.0,2020,bencina,santiago,0,6,10674.0,0,medio,medio,general,depreciacion media
chevrolet,Tracker 1.2t Premier Fwd At 5p,11690000.0,81193.0,2021,bencina,arica y parinacota,0,5,16238.6,0,medio,medio,general,depreciacion media
chevrolet,Tracker 1.2t Ls Fwd Mt 5p,10990000.0,23568.0,2022,bencina,antofagasta,0,4,5892.0,0,medio,bajo,general,depreciacion media
chevrolet,Tracker 1.2t Ltz Fwd Mt 5p,10990000.0,54470.0,2022,bencina,santiago,0,4,13617.5,0,medio,medio,general,depreciacion media
chevrolet,Tracker 1.2t Rs R 4x2 At 5p,12290000.0,20203.0,2024,bencina,tarapaca,0,2,10101.5,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,29543.0,2025,bencina,antofagasta,0,1,29543.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,25271.0,2025,bencina,antofagasta,0,1,25271.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14090000.0,38131.0,2025,bencina,antofagasta,0,1,38131.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14090000.0,43259.0,2025,bencina,antofagasta,0,1,43259.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14090000.0,48210.0,2025,bencina,antofagasta,0,1,48210.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,12990000.0,46383.0,2025,bencina,antofagasta,0,1,46383.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,13990000.0,34651.0,2025,bencina,araucania,0,1,34651.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2 Ltz P At,14390000.0,25381.0,2025,bencina,araucania,0,1,25381.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,25304.0,2025,bencina,araucania,0,1,25304.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14090000.0,35129.0,2025,bencina,atacama,0,1,35129.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,38450.0,2025,bencina,atacama,0,1,38450.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14190000.0,30868.0,2025,bencina,atacama,0,1,30868.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14690000.0,31744.0,2025,bencina,atacama,0,1,31744.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,38444.0,2025,bencina,biobio,0,1,38444.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14090000.0,37458.0,2025,bencina,biobio,0,1,37458.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14590000.0,24538.0,2025,bencina,santiago,0,1,24538.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2 Ltz P At,14590000.0,24892.0,2025,bencina,santiago,0,1,24892.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,35664.0,2025,bencina,santiago,0,1,35664.0,0,medio,medio,general,baja depreciacion
