precio,kilometraje,anio,combustible_limpio,marca_limpia,modelo_limpio,cat_combustible,cat_marca,cat_modelo,features,scaledFeatures,prediction
52990000.0,50997.0,2021,bencina,bmw,m440i 3.0 m cabrio xdrive,0,12,513,"[52990000.0,50997.0,2021.0,12.0,513.0]","[5.314815633845956,1.0212352414398274,569.0741693748416,0.9980228885242706,2.297072261941564]",2
18990000.0,37699.0,2025,electrico,byd,dolphin 4x2 at 5p,3,52,402,"[18990000.0,37699.0,2025.0,52.0,402.0]","[1.9046678408517588,0.754937493716102,570.2004913330303,4.324765850271839,1.8000449304103485]",0
8790000.0,44251.0,2022,bencina,chery,tiggo 1.5 vvt gls 4x2 cvt at 5p,0,6,688,"[8790000.0,44251.0,2022.0,6.0,688.0]","[0.8816235029534997,0.8861439039346197,569.3557498643888,0.4990114442621353,3.080673910752039]",0
20590000.0,34731.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20590000.0,34731.0,2024.0,6.0,32.0]","[2.0651453840514855,0.695502111309423,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
20590000.0,25829.0,2024,bencina,chery,tiggo 2.0 max at 4x4,0,6,690,"[20590000.0,25829.0,2024.0,6.0,690.0]","[2.0651453840514855,0.517236014886156,569.9189108434831,0.4990114442621353,3.089629358167016]",0
19790000.0,27498.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[19790000.0,27498.0,2024.0,6.0,32.0]","[1.9849066124516221,0.5506584047907205,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
14690000.0,67000.0,2018,bencina,chevrolet,captiva ls,0,0,350,"[14690000.0,67000.0,2018.0,0.0,350.0]","[1.4733844435024928,1.341701691794977,568.2294279062,0.0,1.5672032976209502]",1
27490000.0,32506.0,2025,diesel,chevrolet,colorado 2.8 work truck mt,1,0,362,"[27490000.0,32506.0,2025.0,0.0,362.0]","[2.757204789100308,0.6509455999027988,570.2004913330303,0.0,1.6209359821108114]",2
9500000.0,40000.0,2021,bencina,chevrolet,onix hb ltz 1.0t mt,0,0,561,"[9500000.0,40000.0,2021.0,0.0,561.0]","[0.9528354127483785,0.8010159353999862,569.0741693748416,0.0,2.512002999901009]",0
12090000.0,36920.0,2024,bencina,chevrolet,onix 1.0 rs r mt,0,0,557,"[12090000.0,36920.0,2024.0,0.0,557.0]","[1.2126084358029365,0.7393377083741872,569.9189108434831,0.0,2.494092105071055]",0
11890000.0,44497.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[11890000.0,44497.0,2024.0,0.0,55.0]","[1.1925487429029706,0.8910701519373296,569.9189108434831,0.0,0.2462748039118636]",3
54990000.0,1500.0,2026,bencina,audi,a5 new 2.0 tfsi quattro s li,0,14,298,"[54990000.0,1500.0,2026.0,14.0,298.0]","[5.515412562845614,0.030038097577499482,570.4820718225775,1.164360036611649,1.334361664831552]",2
22500000.0,92406.0,2022,bencina,audi,q3 2.0 40 tfsi stronic sport,0,14,580,"[22500000.0,92406.0,2022.0,14.0,580.0]","[2.25671545124616,1.850466963164278,569.3557498643888,1.164360036611649,2.5970797503432888]",0
10490000.0,98849.0,2011,bencina,bmw,325,0,12,267,"[10490000.0,98849.0,2011.0,12.0,267.0]","[1.0521308926032096,1.9794906049588308,566.2583644793699,0.9980228885242706,1.1955522298994106]",1
13800000.0,200387.0,2015,bencina,bmw,x1 sdrive 20i 2.0,0,12,763,"[13800000.0,200387.0,2015.0,12.0,763.0]","[1.3841188100976445,4.012829506174926,567.3846864375586,0.9980228885242706,3.4165031888136714]",1
24470000.0,123400.0,2017,bencina,bmw,x5 xdrive 35i 3.0 biturbo xd,0,12,772,"[24470000.0,123400.0,2017.0,12.0,772.0]","[2.4543034263108234,2.4711341607089574,567.9478474166528,0.9980228885242706,3.456802702181067]",0
8000000.0,75500.0,2017,bencina,changan,cs75,0,23,384,"[8000000.0,75500.0,2017.0,23.0,384.0]","[0.8023877159986346,1.5119175780674738,567.9478474166528,1.912877203004852,1.719445903675557]",0
15990000.0,53794.0,2023,bencina,chery,tiggo max 2.0l awd,0,6,224,"[15990000.0,53794.0,2023.0,6.0,224.0]","[1.6037724473522708,1.0772462807226715,569.6373303539359,0.4990114442621353,1.003010110477408]",3
8480000.0,2812.0,2024,bencina,chery,tiggo gls mt 1.5,0,6,692,"[8480000.0,2812.0,2024.0,6.0,692.0]","[0.8505309789585526,0.05631142025861902,569.9189108434831,0.4990114442621353,3.098584805581993]",0
20790000.0,23489.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20790000.0,23489.0,2024.0,6.0,32.0]","[2.0852050769514516,0.4703765826652569,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
11645000.0,14336.0,2021,bencina,chevrolet,onix nb lt 1.0t,0,0,563,"[11645000.0,14336.0,2021.0,0.0,563.0]","[1.1679756191005124,0.28708411124735506,569.0741693748416,0.0,2.520958447315986]",0
33980000.0,22500.0,2021,bencina,audi,q3 sportback s-line 35 tfsi,0,14,585,"[33980000.0,22500.0,2021.0,14.0,585.0]","[3.4081418237042,0.45057146366249223,569.0741693748416,1.164360036611649,2.619468368880731]",2
21970000.0,80500.0,2021,bencina,audi,q3 35 tfsi 1.4 turbo,0,14,582,"[21970000.0,80500.0,2021.0,14.0,582.0]","[2.2035572650612503,1.6120445699924721,569.0741693748416,1.164360036611649,2.6060351977582656]",0
27970000.0,66000.0,2023,bencina,audi,q3 sportback 1.4 35 tfsi,0,14,583,"[27970000.0,66000.0,2023.0,14.0,583.0]","[2.805348052060226,1.321676293409977,569.6373303539359,1.164360036611649,2.6105129214657543]",0
62490000.0,8136.0,2025,hibrido,audi,q5 2.0 50 tfsi e hybrid spor,2,14,587,"[62490000.0,8136.0,2025.0,14.0,587.0]","[6.267651046594334,0.1629266412603572,570.2004913330303,1.164360036611649,2.628423816295708]",2
30950000.0,91524.0,2020,bencina,bmw,540i 3.0,0,12,282,"[30950000.0,91524.0,2020.0,12.0,282.0]","[3.1042374762697174,1.8328045617887083,568.7925888852944,0.9980228885242706,1.262718085511737]",2
19970000.0,135000.0,2009,bencina,bmw,650 cabriolet 4.8 v8,0,12,287,"[19970000.0,135000.0,2009.0,12.0,287.0]","[2.0029603360615913,2.7034287819749534,565.6952035002755,0.9980228885242706,1.2851067040491793]",1
7190000.0,92300.0,2018,bencina,changan,cx70 1.6,0,23,393,"[7190000.0,92300.0,2018.0,23.0,393.0]","[0.7211459597537728,1.848344270935468,568.2294279062,1.912877203004852,1.7597454170429527]",0
15490000.0,40589.0,2023,bencina,chery,tiggo max 2.0l awd,0,6,224,"[15490000.0,40589.0,2023.0,6.0,224.0]","[1.5536232151023561,0.8128108950487509,569.6373303539359,0.4990114442621353,1.003010110477408]",3
20790000.0,39882.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20790000.0,39882.0,2024.0,6.0,32.0]","[2.0852050769514516,0.7986529383905562,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
20590000.0,25272.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20590000.0,25272.0,2024.0,6.0,32.0]","[2.0651453840514855,0.5060818679857112,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
12990000.0,14392.0,2022,bencina,chevrolet,captiva 1.5t premier fwd mt 5p,0,0,123,"[12990000.0,14392.0,2022.0,0.0,123.0]","[1.3028770538527827,0.28820553355691503,569.3557498643888,0.0,0.5507600160210768]",3
