marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
byd,Dolphin 4x2 At 5p,2025,18990000.0,37699.0,electrico,santiago,https://automoviles.emol.com/venta/autos/byd-dolphin-2025-metropolitana-de-santiago-cod77142840.html,18997.0,376990.0,2025
changan,Cs55 1.5t Elite 4x2 At 5p,2024,15490000.0,44387.0,bencina,araucania,https://automoviles.emol.com/venta/autos/changan-cs55-2024-araucania-cod77087283.html,15497.0,443870.0,2024
changan,Cs75,2017,8000000.0,75500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/changan-cs75-2017-metropolitana-de-santiago-cod76211437.html,80000000.0,755000.0,2017
changan,Cx70 1.6,2018,7190000.0,92300.0,bencina,araucania,https://automoviles.emol.com/venta/autos/changan-cx70-2018-araucania-cod77313614.html,71900000.0,923000.0,2018
chery,Arrizo 1.5,2023,6950000.0,87626.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-arrizo-2023-metropolitana-de-santiago-cod77286643.html,69500000.0,876260.0,2023
chery,Tiggo 1.5t Glx 4x2 Cvt At 5p,2021,12480000.0,45050.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2021-metropolitana-de-santiago-cod77327147.html,12487.0,450500.0,2021
chery,Tiggo 1.5 Vvt Gls 4x2 Cvt At 5p,2022,8790000.0,44251.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chery-tiggo-2022-biobio-cod77338485.html,87900000.0,442510.0,2022
chery,Tiggo Tiggo 8,2022,14490000.0,10800.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2022-metropolitana-de-santiago-cod75926863.html,14497.0,108000.0,2022
chery,Tiggo 1.5t Glx 4x2 Cvt At 5p,2022,11390000.0,96449.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2022-metropolitana-de-santiago-cod77310802.html,11397.0,964490.0,2022
chery,Tiggo Max 2.0l Awd,2023,15490000.0,40589.0,bencina,atacama,https://automoviles.emol.com/venta/autos/chery-tiggo-2023-atacama-cod76809335.html,15497.0,405890.0,2023
