_id,antiguedad_auto,cat_combustible,categoria_precio,ciudad,combustible,es_ecologico,fecha_captura,foto_url,grupo,kilometraje,marca,modelo,precio,rango_kilometraje,tipo_marca,url,uso_anual_estimado,usuario,year
6a1c9208b2f827e18bad51c8,1,1,Alto,santiago,diesel,0,2026-05-31 19:52:56,,AutoTec,31287.0,chevrolet,Colorado,33990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TXYP-32_DIFOR,31287.0,Martin,2025
6a1c9208b2f827e18bad5181,1,0,Alto,santiago,bencina,0,2026-05-31 19:54:13,,AutoTec,20000.0,honda,Hr-v,21990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TYCS-30_DIFOR,20000.0,Martin,2025
6a1c9207b2f827e18bad5120,1,1,Alto,santiago,diesel,0,2026-05-31 19:53:48,,AutoTec,56702.0,peugeot,Boxer,25990000.0,Medio,generalista,https://www.difor.cl/autos-usados-chile/TZPT-71_DIFOR,56702.0,Martin,2025
6a1c9208b2f827e18bad51a6,1,0,Alto,santiago,bencina,0,2026-05-31 19:54:36,,AutoTec,32367.0,ford,F-150 Raptor,79990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VBBR-50_DIFOR,32367.0,Martin,2025
6a1c9207b2f827e18bad50c8,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:13,,AutoTec,5000.0,mg,Zx,13990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TWGS-72_DIFOR,5000.0,Martin,2025
6a1c9207b2f827e18bad5107,1,0,Medio,santiago,bencina,0,2026-05-31 19:49:43,,AutoTec,14238.0,volkswagen,Jetta,18990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TYBK-94_DIFOR,14238.0,Martin,2025
6a1c9207b2f827e18bad514f,1,0,Alto,santiago,bencina,0,2026-05-31 19:50:17,,AutoTec,20000.0,ford,Bronco,49990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TYXK-68_DIFOR,20000.0,Martin,2025
6a1c9206b2f827e18bad5095,1,0,Medio,santiago,bencina,0,2026-05-31 19:51:17,,AutoTec,22834.0,jaecoo,7,19990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TVZG-85_DIFOR,22834.0,Martin,2025
6a1c9208b2f827e18bad518c,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:20,,AutoTec,17203.0,volkswagen,Nivus,14990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/TZZW-51_DIFOR,17203.0,Martin,2025
6a1c9207b2f827e18bad513f,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:01,,AutoTec,7810.0,mg,Zs,8990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VDJS-78_DIFOR,7810.0,Martin,2025
