y_real,y_predicho
19990000.0,13627297.860735534
19800000.0,16661693.439028908
9990000.0,10765474.198562188
14900000.0,11988290.501274172
9800000.0,11196689.411546735
9490000.0,10366969.964334307
12990000.0,16782603.932792652
20990000.0,30637548.364429228
14980000.0,16011277.564634364
11290000.0,12874674.977363335
13390000.0,10371917.893153764
33490000.0,34480442.89959246
15490000.0,11833169.463873282
11290000.0,16525712.51644568
13490000.0,11764113.200043844
26990000.0,42886796.644826464
2055000.0,7821584.959811547
9350000.0,9769224.840222346
20990000.0,25775738.989593416
15790000.0,12323076.893794185
9400000.0,15697898.522383025
16990000.0,11391808.46499968
21690000.0,41510058.00993111
11490000.0,13072593.8962029
12490000.0,14061597.794413002
9490000.0,12552967.231212525
9490000.0,10629122.288127525
20990000.0,24288954.063600145
14990000.0,12383194.654480249
18990000.0,11557255.808529796
21790000.0,20518689.207208674
11400000.0,12076488.230360877
11290000.0,10739576.327240203
17990000.0,11452245.718884941
5200000.0,10339976.28210609
39900000.0,25615447.524622314
12090000.0,11622734.531185463
11980000.0,9055579.277839202
16490000.0,14786689.234599505
27970000.0,37255193.326954246
8280000.0,13254723.990981761
12990000.0,12392061.388862586
11450000.0,9515828.302411383
8000000.0,9729254.543029843
25490000.0,30583155.73532203
11490000.0,9242669.861024627
78990000.0,31627388.381973706
12090000.0,11938413.350038579
8790000.0,14526524.358986886
14590000.0,6505745.518942448
13200000.0,12764145.559792282
10990000.0,12154514.128494214
19970000.0,14376996.132516783
21790000.0,27396283.929249913
24990000.0,45486467.860599816
10990000.0,11642196.093176726
11990000.0,12521226.463629292
9690000.0,12277115.78710396
33950000.0,29339672.8039972
11490000.0,12357637.11866847
39970000.0,55896455.348656505
23000000.0,26666101.979348984
31900000.0,30081829.917230643
12990000.0,15183606.766991723
15490000.0,11042379.41625297
7490000.0,8234135.868813016
11890000.0,12100672.262212265
14290000.0,7150840.03411162
10990000.0,9599879.444468405
15290000.0,10790963.19185326
6290000.0,9470714.520477053
12090000.0,12097915.907047156
13900000.0,16851347.218171336
16970000.0,12556343.63437242
8290000.0,15358545.021400915
11980000.0,12653565.260250026
10190000.0,11576375.190473335
22990000.0,31852040.565918833
33990000.0,32289750.471322354
10990000.0,11933066.102635223
11545000.0,12684169.031558814
20190000.0,24150175.645454545
12500000.0,14170764.737801682
7690000.0,8677334.90984708
17000000.0,10108507.15014719
12500000.0,14473326.410004433
13490000.0,14426691.988769608
10190000.0,15460049.736763123
24900000.0,25756456.88073613
15590000.0,12457946.523342524
14900000.0,13495152.472171305
38990000.0,33656927.5333548
10980000.0,12043179.411110966
13490000.0,12478466.309303833
15990000.0,16327361.043027282
6450000.0,12602759.221512662
6990000.0,7636439.523847035
7790000.0,9951924.184695981
8970000.0,8513686.342800897
19999000.0,15382205.27820742
27990000.0,23520340.099904403
13395000.0,15760595.05782638
34990000.0,35868673.74595153
8490000.0,8578666.131907828
12580000.0,11937926.015305582
14390000.0,14301759.028233424
24970000.0,28150478.103834122
21800000.0,27444311.914306946
11490000.0,13002328.128098322
11490000.0,11711365.349431928
10990000.0,12195800.902631052
17990000.0,16088666.69357081
7950000.0,12083924.465367645
8490000.0,9744489.752696883
24950000.0,28162188.933782335
15990000.0,12982273.604227243
10980000.0,14639043.873333294
7000000.0,8540017.596547857
16950000.0,14356330.144700307
13490000.0,10943839.07843361
27900000.0,23893114.861737873
14990000.0,13158648.520660073
19990000.0,13840029.652780809
15990000.0,13374872.512091273
16690000.0,15168654.748737646
7290000.0,9321669.654188886
16190000.0,15106938.77037856
6290000.0,10508696.461365648
21490000.0,23339356.017745577
34990000.0,46261798.3500424
9990000.0,10770453.03638835
14990000.0,12981500.746398307
10900000.0,14813321.603032403
10990000.0,10104433.798472797
17800000.0,11684688.847791592
18890000.0,13135687.526969414
11990000.0,11896898.579104446
