y_real,y_predicho
21990000.0,24155850.0
6790000.0,9434200.0
18990000.0,17870900.0
12950000.0,12637625.0
21990000.0,29447600.0
12990000.0,13355300.0
11290000.0,10598049.95
18950000.0,10911924.95
39900000.0,26579700.0
12300000.0,12633500.0
10990000.0,10902000.0
5980000.0,8973950.0
11990000.0,11428549.95
3290000.0,6302825.0
12980000.0,10450549.75
9900000.0,11013800.0
7900000.0,10357799.95
8980000.0,12573850.0
15990000.0,12561599.6
10990000.0,11209025.0
15350000.0,14488599.4
18590000.0,16493300.0
7790000.0,8932799.85
18390000.0,14656200.0
9990000.0,10599700.0
34990000.0,26215400.0
14890000.0,16614799.65
58970000.0,34240700.0
6180000.0,8700749.35
7690000.0,9513050.0
8490000.0,9906650.0
48990000.0,33874150.0
8990000.0,9245100.0
21990000.0,23016250.0
7990000.0,9273299.85
10900000.0,9496398.95
7350000.0,7734849.95
9990000.0,10153549.3
19990000.0,13960650.0
19800000.0,18761800.0
9990000.0,11908499.8
14900000.0,12472650.0
9800000.0,13525649.55
9490000.0,10905974.95
12990000.0,14125349.85
20990000.0,27231050.0
14980000.0,14662875.0
11290000.0,13029399.85
13390000.0,13019450.0
33490000.0,29616500.0
15490000.0,12114950.0
11290000.0,14034149.95
13490000.0,12511175.0
26990000.0,29026400.0
2055000.0,8647899.95
9350000.0,9478800.0
20990000.0,25137300.0
15790000.0,12318749.8
9400000.0,14434550.0
16990000.0,12440499.95
21690000.0,31103550.0
11490000.0,11769950.0
12490000.0,13734699.95
9490000.0,13283299.95
9490000.0,11519500.0
20990000.0,22952100.0
14990000.0,13099300.0
18990000.0,13025000.0
21790000.0,23700350.0
11400000.0,11512199.95
11290000.0,10115300.0
17990000.0,11059025.0
5200000.0,8946900.0
39900000.0,27056600.0
12090000.0,12371650.0
11980000.0,11229550.0
16490000.0,13517150.0
27970000.0,27683400.0
8280000.0,13786699.95
12990000.0,11459150.0
11450000.0,10594999.9
8000000.0,9157250.0
25490000.0,25097650.0
11490000.0,9255050.0
78990000.0,26980550.0
12090000.0,11855365.5
8790000.0,13118400.0
14590000.0,8222449.8
13200000.0,10464250.0
10990000.0,15644149.9
19970000.0,10725300.0
21790000.0,23953350.0
24990000.0,31532750.0
10990000.0,11231425.0
11990000.0,10990900.0
9690000.0,10458249.95
33950000.0,27476750.0
11490000.0,13413249.65
39970000.0,34422800.0
23000000.0,26483600.0
31900000.0,25030750.0
12990000.0,12073949.5
15490000.0,12362449.7
7490000.0,7535500.0
11890000.0,11794700.0
14290000.0,12148399.9
10990000.0,9090799.65
15290000.0,11028250.0
6290000.0,8658248.95
12090000.0,11622400.0
